Name,Price,Rating
"Motorola g45 5G (Brilliant Green, 128 GB)",10999,"4.339,303 Ratings & 2,518 Reviews"
"Motorola G85 5G (Olive Green, 256 GB)",18999,"4.469,009 Ratings & 3,857 Reviews"
"POCO M7 5G (Ocean Blue, 128 GB)",9499,"4.19,856 Ratings & 614 Reviews"
Kechaoda A26,897,"427,031 Ratings & 1,549 Reviews"
"Infinix Hot 50 5G (Dreamy Purple, 128 GB)",10499,"4.415,602 Ratings & 1,144 Reviews"
"realme 14 Pro+ 5G (Pearl White, 256 GB)",31999,"4.46,701 Ratings & 1,025 Reviews"
"Infinix Note 50s 5G+ (Burgundy Red, 256 GB)",17999,"4.44,319 Ratings & 470 Reviews"
"POCO M7 Pro 5G (Lavender Frost, 128 GB)",12999,"4.39,533 Ratings & 946 Reviews"
"Infinix Hot 50 5G (Sleek Black, 128 GB)",10499,"4.415,602 Ratings & 1,144 Reviews"
"realme P1 5G (Feather Blue, 128 GB)",13999,"4.41,02,591 Ratings & 6,033 Reviews"
"Infinix Hot 50 5G (Vibrant Blue, 128 GB)",10499,"4.415,602 Ratings & 1,144 Reviews"
"realme P3x 5G (Midnight Blue, 128 GB)",13999,"4.511,219 Ratings & 349 Reviews"
"CMF by Nothing Phone 2 Pro (Black, 256 GB)",20999,"4.43,154 Ratings & 383 Reviews"
"realme P2 Pro 5G (Parrot Green, 256 GB)",19999,"4.414,126 Ratings & 1,131 Reviews"
"POCO C61 (Mystical Green, 64 GB)",6407,"4.21,02,172 Ratings & 4,375 Reviews"
"POCO X7 Pro 5G (Yellow, 256 GB)",23999,"4.35,585 Ratings & 923 Reviews"
"realme Narzo N61 (Vyage Blue, 64 GB)",7399,"4.34,522 Ratings & 218 Reviews"
itel it2165s,879,"4.11,678 Ratings & 80 Reviews"
"realme C61 (Marble Black, 128 GB)",8199,"4.415,126 Ratings & 549 Reviews"
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,992,"417,704 Ratings & 787 Reviews"
"Motorola G85 5G (Urban Grey, 128 GB)",16999,"4.41,79,017 Ratings & 9,437 Reviews"
Kechaoda K112,1417,"430,408 Ratings & 2,771 Reviews"
"realme C61 (Safari Green, 64 GB)",7699,"4.36,530 Ratings & 252 Reviews"
"REDMI Note 14 5G (Phantom Purple, 128 GB)",17349,"4.31,346 Ratings & 72 Reviews"
